Strain,Stress_MPa
-7.01530015767854e-05,0.841355599707122
-7.82453443946342e-05,0.912758676953362
-9.10584093340688e-05,0.984105467994517
-0.000103554061315484,1.05543967573068
-0.000112856389563266,1.12695810814901
-0.000119947292877502,1.19875513053999
-0.000128753303337819,1.27206035398761
-0.000135813086052086,1.34764452325883
-0.000140460518294887,1.42423787826287
-0.000144731791838833,1.50316441800667
-0.000149980772492511,1.58443354230593
-0.000156405216343503,1.66916096385251
-0.000164439134516285,1.75565992754327
-0.00017067933188399,1.84412845843938
-0.000180568734627106,1.93485459760077
-0.000191013241564728,2.02768387266442
-0.000204576084818877,2.1229631280877
-0.00021708701838124,2.22026298272703
-0.000226600442911556,2.31910514569303
-0.000235079125129306,2.42039446484996
-0.000242333223940899,2.52328256223655
-0.000248744914620978,2.62892068016339
-0.000255329153976539,2.73632033864779
-0.000261946300047291,2.84564281038379
-0.000268581492803717,2.95834189072922
-0.000275662335531052,3.07192280529021
-0.000292786429259313,3.24970598988865
-0.000309398392209264,3.43280543855561
-0.000326688190563199,3.62259786803849
-0.000346317453653377,3.82042133795159
-0.000364588185957398,4.02611335015878
-0.000379834646922498,4.23719955903458
-0.00039393834028032,4.45187075985296
-0.000405515348063183,4.67067403406929
-0.000416423382339488,4.89486673471467
-0.000427528650253311,5.12499021390041
-0.000439455883840333,5.35988409752699
-0.00045157869673642,5.60220633735001
-0.000464413123961456,5.84965032660303
-0.000476829235955332,6.10273518595946
-0.000484804066524091,6.36281444712062
-0.000497804680504881,6.63089472351945
-0.000510840895806662,6.90494950373082
-0.000522662862501284,7.18329221044847
-0.000534034354442283,7.46183017435488
-0.000543171052132266,7.74344678678117
-0.000554136951449365,8.0326134028332
-0.000561418826437485,8.32780274999004
-0.000568501517224803,8.63258756674102
-0.000573404370132971,8.93844888294051
-0.000578745534924851,9.24449109669303
-0.000587083862326582,9.55424766882243
-0.000592501879105635,9.86938486340611
-0.000596507846382745,10.1890583925634
-0.000604705558356657,10.5105920414302
-0.000613150123511743,10.8349382431035
-0.000621048375212192,11.1666815649456
-0.000626481774517864,11.5017291672537
-0.000634349843979802,11.8405226525221
-0.00063999811608812,12.1816367991479
-0.000641490626940543,12.5282638070292
-0.000643510932153548,12.8761304407223
-0.000645681911898259,13.2260177421734
-0.000648243448037361,13.579466164033
-0.00064906027736893,13.9345369729999
-0.000648567586106146,14.2932699815475
-0.00064735666555167,14.6539324022195
-0.00064583499263643,15.0162646524193
-0.000636621733995074,15.3832487188717
-0.000635864990785858,15.7519839111882
-0.000637459712186833,16.1226261484327
-0.000639454638586422,16.4937990579261
-0.000639094311225072,16.8663107805768
-0.000636474518202691,17.2409201224958
-0.000634012513129658,17.6179248408378
-0.000630598566489534,17.9993405506114
-0.000623217657701009,18.3822231752777
-0.000617578262833901,18.7670225375986
-0.000610702875037219,19.1565247779067
-0.000604660459233421,19.5451642067008
-0.000598406556550071,19.9347564868607
-0.000596225469987441,20.3273156636512
-0.000596332439637608,20.7220378211708
-0.000597627007111745,21.1188644447009
-0.000596093320255548,21.5158439297027
-0.000592981351091602,21.9142567757794
-0.000588389068120164,22.3165661089573
-0.000582303449699378,22.7163329280883
-0.00057675918661537,23.118646818799
-0.000569673556932673,23.5244312728646
-0.000561885748521,23.9286179148834
-0.000552477290770974,24.3322977342021
-0.000544737578666934,24.7379121222748
-0.000540649793587176,25.1462393030943
-0.000535443727465027,25.5544640746368
-0.000532627874102902,25.9631242565411
-0.00053052573581853,26.3686194292977
-0.000529130368199361,26.7761055381221
-0.000526027271201105,27.1833742902312
-0.000521278806204128,27.5930294251661
-0.000514833934912837,28.0041538455481
-0.000506731847128678,28.4159079892163
-0.000496990148718808,28.8290243322523
-0.000489451301907976,29.2441126678055
-0.000478974589986741,29.6645580983474
-0.000468834149804857,30.0870671095661
-0.000455814088226205,30.5055446687172
-0.000449411856074585,30.9238335838287
-0.000442460916840449,31.3441559285593
-0.000436611655051812,31.7659599061771
-0.000436182262526289,32.1882589427621
-0.000433945545393011,32.6102810015078
-0.000427515892254029,33.0335604193305
-0.000420466277807489,33.4552035389083
-0.000412877832948416,33.878277298892
-0.000403220038979202,34.3020031927791
-0.000392175898127076,34.7261493805517
-0.000382324645415427,35.1526834115172
-0.000381196077857838,35.5767772497718
-0.000371386399706364,36.0014993069749
-0.000360851620456705,36.4270336751296
-0.000350327542014614,36.8550554338304
-0.000343729533600436,37.2854126208003
-0.000339209676192329,37.7150437969871
-0.000334486026414828,38.1441021025251
-0.000329722349225961,38.5705543743659
-0.000324207731235668,38.9986432390533
-0.00031983303465316,39.4300721722706
-0.000313096350079092,39.8563217954971
-0.000300493968145104,40.2841459643791
-0.00029001953828767,40.7128542385438
-0.00027912748556098,41.1434395099092
-0.000267003357556629,41.5722376062722
-0.000255290140228057,41.9998074261351
-0.000246436522823379,42.4288674432213
-0.000237338239367999,42.8585791138341
-0.000230068156752527,43.2851105994626
-0.000222882489338157,43.7104544867141
-0.000216795465312979,44.1350356924126
-0.000211140686192164,44.5602617323771
-0.000204039816970732,44.9845042505178
-0.000195853246247271,45.4115488543096
-0.000187682182812417,45.8369584300516
-0.000178038148953326,46.2590441716876
-0.000166400378068967,46.6825648062176
-0.000155258929746785,47.1061852277393
-0.000143982892667676,47.5318798273557
-0.000132033826320594,47.955006738218
-0.000121972412014645,48.3744090098726
-0.00011378348499539,48.7961790198012
-0.000106445877707365,49.2171190844463
-9.70393150096955e-05,49.6389614070073
-9.08687107075685e-05,50.056864601615
-8.35728806891141e-05,50.4774589962016
