Strain,Stress_MPa
3.6592383598193e-05,0.16628980980336
3.77746558088453e-05,0.169374400653251
3.84699061311628e-05,0.172118373119794
3.80023902704922e-05,0.174872048196852
3.81304570199282e-05,0.177443197809506
3.85767924680266e-05,0.17965899177992
3.74997521307566e-05,0.18237769514534
3.75180902497204e-05,0.185522684779631
3.79816515603746e-05,0.188595916680849
4.02693350913601e-05,0.191387925257845
4.15187803993714e-05,0.194289882711131
4.17411235643272e-05,0.197418811033115
4.24096695852195e-05,0.200204043127176
4.30041361149454e-05,0.202804738258062
4.36342224107101e-05,0.205245099781969
4.38320387021969e-05,0.20758194127697
4.45646978417698e-05,0.209786610989717
4.42494651608494e-05,0.211894879246409
4.4673599047331e-05,0.21414209182587
4.48688198177246e-05,0.216270834490109
4.76428399771586e-05,0.218147461665046
4.92116408864898e-05,0.219903548594178
5.03877217873431e-05,0.221497252550877
5.27045954100496e-05,0.222999481387327
5.28626602509507e-05,0.224432871865274
5.37329770137289e-05,0.225977785010591
5.52872750646635e-05,0.230958757401565
5.42175539651068e-05,0.235575830653293
5.64944007531581e-05,0.240379109200607
5.7537147497167e-05,0.245264729609659
5.87589456849942e-05,0.250445568359655
5.91714675568063e-05,0.25590482007438
5.76663447095961e-05,0.264592493980032
5.73199616048038e-05,0.270484380834041
5.75894641545241e-05,0.274855023695519
5.35153785939166e-05,0.278426041527769
5.77929549344988e-05,0.28120486142385
6.12438711290081e-05,0.283510606262875
6.42185149057528e-05,0.285604343093579
6.59347001152268e-05,0.287690382288058
6.76693388477594e-05,0.28970437884382
6.8721413408709e-05,0.29163630408101
6.8080567129479e-05,0.293590075542109
6.70029671489536e-05,0.295343981190737
6.5938149571899e-05,0.297325886408203
6.9936831390546e-05,0.299337985335949
7.1584729204492e-05,0.3014639763774
7.33956117383738e-05,0.30340452073723
7.50904339181946e-05,0.305592254101274
7.59096989167669e-05,0.307677100719621
7.60883504415636e-05,0.309966528799781
7.60583894573542e-05,0.312209392302163
7.6617757659816e-05,0.314613145365091
7.7746118144556e-05,0.316728727873152
7.83522197528712e-05,0.318817315092346
7.91938270138067e-05,0.320953117286017
8.08202312600616e-05,0.322593727655559
8.18284033069485e-05,0.323813411666053
8.23905417636067e-05,0.325212850020673
8.13651132092053e-05,0.326788464991024
8.12640417022673e-05,0.328245201655162
8.15943228368031e-05,0.329178015904187
8.16891359541861e-05,0.330389134900673
8.22474309545791e-05,0.331591472448621
8.277962723863e-05,0.33271146758828
8.31094970162526e-05,0.333786524141907
8.33772576278334e-05,0.33485187776058
8.44183259876413e-05,0.335814886266438
8.44511362264195e-05,0.336746616703148
8.50493011330752e-05,0.337724803500371
8.33585658172229e-05,0.338930284814548
8.29242602685541e-05,0.340057381302365
8.29719155385931e-05,0.341330514804265
8.18329064537463e-05,0.342620452589278
8.26337055818583e-05,0.344023956196543
8.22578421448392e-05,0.345068764931256
8.24048630816072e-05,0.346373068285037
8.48150835984129e-05,0.347670703706275
8.41933407970501e-05,0.348683420556139
8.37544564714679e-05,0.349595906902288
8.41507541905834e-05,0.350374390212939
8.4132211018532e-05,0.350938697344089
8.39473277987322e-05,0.351475412351753
8.35125550929742e-05,0.351886201813679
8.38064841914288e-05,0.352334557970313
8.42551736869301e-05,0.352628854278291
8.42969772270359e-05,0.353028801791212
8.42217800988939e-05,0.353489463016148
8.48736610015646e-05,0.353908762836896
8.52523963181002e-05,0.354142454196677
8.56895422788902e-05,0.35456479011294
8.59829478439619e-05,0.354922238847278
8.61305828967613e-05,0.355357259138825
8.67055823775242e-05,0.355769783356316
8.68206271186639e-05,0.356067765609956
8.70947972611226e-05,0.356257060563138
8.71189147269691e-05,0.356357345175487
8.70946041365455e-05,0.356498340795325
8.67820552501983e-05,0.356376752138499
8.69147385274162e-05,0.356326935030674
8.64102513298639e-05,0.35612517213674
8.8803998404415e-05,0.356023152768826
9.10315524492322e-05,0.355907310011576
9.14980002617957e-05,0.355860582561347
9.15564849497035e-05,0.355905467038745
9.09471148374261e-05,0.356092430948296
9.07730495459573e-05,0.35615032554588
9.32697017181284e-05,0.356161275712151
9.55370065305036e-05,0.356085925888203
9.82837867743564e-05,0.355867358711156
0.000100520193558892,0.355579079392471
0.000100748585780775,0.355723056452639
0.000101844623249485,0.355579459246005
0.000103530871542068,0.35571725644443
0.0001051873589934,0.355895167269173
0.00010743149191604,0.356119914307964
0.00010928826491855,0.356685359360061
0.000111163353608865,0.35727503578833
0.000112684097702972,0.357493548856745
0.000114253359127305,0.357736889042846
0.000116252345816676,0.358078454980487
0.000117630675568494,0.358515752207032
0.000119177454948955,0.358983134926593
0.00012106069148033,0.359313804806595
0.000122865131845782,0.359744814500683
0.000119518784267464,0.360496573065631
0.000117164503025387,0.361040551747353
0.00011640894871714,0.361549457650448
0.00011495145792108,0.362445085604851
0.000113514737402419,0.363597768370872
0.000112132528729834,0.365115163545289
0.000111180324527936,0.367104657635161
0.000109035690850589,0.370042144811976
0.000108052678236929,0.374757876684306
0.000107674848439741,0.38180152481792
0.000105955494204626,0.391320047713316
0.000103911210072464,0.404074690435865
0.000102665490255321,0.42075693234722
0.000100805495668489,0.441771762901096
9.92537668548042e-05,0.467735583271468
9.69087004199353e-05,0.49843584327058
9.51412356689549e-05,0.535296971789742
9.30237012895399e-05,0.578023045436126
9.1248393778855e-05,0.627490068766591
8.79974345965079e-05,0.683607785302089
9.05523999926941e-05,0.746691090343192
8.71374272331125e-05,0.816926134530301
8.40724704429306e-05,0.894799706999436
8.00603542713508e-05,0.9807330604011
